#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2024 01 04 06 00 999 99.0 99.0  0.25  3.85  2.36 349 9999.0   4.3   6.8 999.0 99.0 99.00
2024 01 04 06 30 999 99.0 99.0  0.26  3.85  2.10 345 9999.0   4.0   6.7 999.0 99.0 99.00
2024 01 04 07 00 999 99.0 99.0 99.00 99.00 99.00 999 9999.0   4.1   6.8 999.0 99.0 99.00
2024 01 04 07 30 999 99.0 99.0  0.33  2.06  2.08 273 9999.0   4.3   6.9 999.0 99.0 99.00
2024 01 04 08 00 999 99.0 99.0  0.36  2.15  2.12 278 9999.0   4.5   6.9 999.0 99.0 99.00
2024 01 04 08 30 999 99.0 99.0  0.37  2.38  2.14 271 9999.0   4.4   6.9 999.0 99.0 99.00
2024 01 04 09 00 999 99.0 99.0  0.38  2.38  2.13 276 9999.0   4.3   7.0 999.0 99.0 99.00
2024 01 04 09 30 999 99.0 99.0  0.39  2.38  2.16 271 9999.0   4.1   7.0 999.0 99.0 99.00
2024 01 04 10 00 999 99.0 99.0  0.37  2.53  2.16 274 9999.0   4.1   7.0 999.0 99.0 99.00
2024 01 04 10 30 999 99.0 99.0  0.37  2.38  2.18 284 9999.0   4.0   7.0 999.0 99.0 99.00
2024 01 04 11 00 999 99.0 99.0  0.35  2.33  2.17 282 9999.0   4.0   7.0 999.0 99.0 99.00
2024 01 04 11 30 999 99.0 99.0  0.35  2.47  2.16 292 9999.0   3.9   7.0 999.0 99.0 99.00
2024 01 04 12 00 999 99.0 99.0  0.34  2.50  2.14 297 9999.0   3.9   7.1 999.0 99.0 99.00
2024 01 04 12 30 999 99.0 99.0  0.34  2.53  2.18 305 9999.0   3.9   7.0 999.0 99.0 99.00
2024 01 04 13 00 999 99.0 99.0  0.34  2.44  2.14 295 9999.0   3.8   7.1 999.0 99.0 99.00
2024 01 04 13 30 999 99.0 99.0  0.43  2.47  2.31 294 9999.0   3.8   7.0 999.0 99.0 99.00
