YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
95 01 05 17 271 09.1 12.7 00.80 04.00 03.60 291 1020.5 -05.8 999.0 999.0 29.1
95 01 05 18 261 08.5 12.1 00.80 04.00 03.50 286 1019.6 -05.2 999.0 999.0 28.6
95 01 05 19 257 08.9 11.2 00.70 03.60 03.30 280 1019.3 -04.0 999.0 999.0 28.0
95 01 05 20 249 09.5 12.1 00.70 03.60 03.40 273 1019.2 -03.4 999.0 999.0 27.3
95 01 05 21 242 08.6 11.6 00.70 03.60 03.30 269 1019.8 -03.2 999.0 999.0 26.9
95 01 05 22 226 09.6 11.4 00.70 03.40 03.30 266 1019.6 -03.1 999.0 999.0 26.6
95 01 05 23 211 08.7 11.1 00.70 03.20 03.30 256 1020.3 -03.4 999.0 999.0 25.6
95 01 06 00 209 10.3 12.8 00.70 03.30 03.20 252 1019.9 -03.4 999.0 999.0 25.2
95 01 06 01 218 12.7 15.3 00.80 03.60 03.40 249 1019.8 -03.1 999.0 999.0 24.9
95 01 06 03 218 12.0 16.7 01.10 04.20 03.70 252 1019.2 -03.2 999.0 999.0 25.2
95 01 06 04 222 12.1 14.5 01.10 04.50 03.70 253 1018.9 -03.2 999.0 999.0 25.3
95 01 06 05 220 11.7 15.7 01.10 04.20 03.80 255 1018.5 -03.2 999.0 999.0 25.5
95 01 06 06 214 10.9 13.0 01.00 04.30 03.70 254 1018.6 -03.8 999.0 999.0 25.4
95 01 06 07 220 11.8 14.1 00.90 04.00 03.50 259 1018.1 -03.6 999.0 999.0 25.9
95 01 06 08 216 11.2 13.4 01.00 04.00 03.60 251 1018.8 -04.0 999.0 999.0 25.1
95 01 06 09 219 11.3 13.7 01.00 03.70 03.50 259 1018.9 -04.0 999.0 999.0 25.9
95 01 06 10 211 08.8 11.4 00.80 03.80 03.40 256 1019.2 -04.6 999.0 999.0 25.6
95 01 06 11 211 09.0 10.9 00.70 03.60 03.20 249 1019.4 -04.5 999.0 999.0 24.9
95 01 06 12 221 10.7 13.3 00.80 03.40 03.30 243 1020.5 -04.4 999.0 999.0 24.3
95 01 06 13 220 09.8 12.0 00.80 03.60 03.40 248 1020.9 -04.7 999.0 999.0 24.8
95 01 06 14 225 09.0 11.1 00.70 03.20 03.20 256 1021.2 -04.3 999.0 999.0 25.6
95 01 06 15 218 08.5 10.0 00.70 03.20 03.20 234 1021.4 -03.5 999.0 999.0 23.4
95 01 06 16 217 08.3 10.3 00.70 03.20 03.20 238 1021.0 -02.4 999.0 999.0 23.8
95 01 06 17 206 06.5 07.7 00.70 03.30 03.20 238 1019.1 -00.7 999.0 999.0 23.8
95 01 06 18 205 09.7 11.4 00.70 02.90 03.00 224 1017.2  02.1 999.0 999.0 22.4
95 01 06 19 205 09.1 10.9 00.80 03.30 03.30 224 1016.4  03.9 999.0 999.0 22.4
95 01 06 20 198 10.1 12.2 00.70 03.20 03.20 214 1015.6  04.8 999.0 999.0 21.4
95 01 06 21 195 12.4 15.1 01.00 03.40 03.40 210 1014.8  03.9 999.0 999.0 21.0
95 01 06 22 198 11.6 14.5 01.00 03.70 03.50 206 1015.6  03.8 999.0 999.0 20.6
95 01 06 23 194 08.8 11.0 01.00 03.40 03.50 214 1015.7  03.9 999.0 999.0 21.4
95 01 07 00 180 07.0 08.5 00.70 03.20 03.40 208 1014.8  04.3 999.0 999.0 20.8
95 01 07 01 199 08.5 10.9 00.50 02.60 03.20 200 1014.2  05.4 999.0 999.0 20.0
95 01 07 02 206 08.6 10.8 00.60 03.00 03.10 206 1013.4  05.8 999.0 999.0 20.6
95 01 07 03 198 09.1 11.5 00.60 03.10 03.20 201 1012.6  06.2 999.0 999.0 20.1
95 01 07 04 220 07.8 09.3 00.80 03.40 03.40 233 1012.0  05.6 999.0 999.0 23.3
95 01 07 05 206 06.4 07.8 00.70 03.40 03.40 212 1010.2  05.1 999.0 999.0 21.2
95 01 07 06 168 05.7 07.7 00.50 04.00 03.50 152 1008.1  04.8 999.0 999.0 15.2
95 01 07 07 141 06.9 08.4 00.40 03.20 03.60 171 1006.5  04.7 999.0 999.0 17.1
95 01 07 08 131 08.4 09.9 00.50 02.80 03.20 155 1003.8  05.5 999.0 999.0 15.5
95 01 07 09 142 09.4 11.3 00.60 03.30 03.30 147 1000.5  06.6 999.0 999.0 14.7
95 01 07 10 158 13.2 17.3 00.90 03.40 03.40 155 0997.1  09.7 999.0 999.0 15.5
95 01 07 11 170 13.5 16.9 01.30 04.30 04.00 161 0995.3  10.6 999.0 999.0 16.1
95 01 07 12 169 10.9 14.5 01.40 05.30 04.20 155 0993.0  10.3 999.0 999.0 15.5
95 01 07 13 182 12.8 15.7 01.90 06.70 04.90 139 0992.0  11.4 999.0 999.0 13.9
95 01 07 14 192 11.8 14.6 02.00 07.10 05.10 138 0992.1  11.7 999.0 999.0 13.8
95 01 07 15 306 08.6 12.6 01.70 06.70 04.90 145 0993.5  07.5 999.0 999.0 14.5
95 01 07 16 316 04.1 05.4 01.40 06.70 05.10 152 0994.1  05.4 999.0 999.0 15.2
95 01 07 17 287 04.2 05.6 01.20 06.20 04.80 139 0993.7  05.5 999.0 999.0 13.9
95 01 07 18 288 07.1 08.4 00.90 05.90 04.80 132 0995.4  05.5 999.0 999.0 13.2
95 01 07 19 281 06.3 07.5 00.80 05.60 04.30 128 0996.0  05.5 999.0 999.0 12.8
95 01 07 20 281 06.0 07.0 00.70 04.80 04.10 104 0997.7  05.9 999.0 999.0 10.4
95 01 07 21 287 08.9 11.2 00.70 03.10 03.80 334 0999.4  05.9 999.0 999.0 33.4
95 01 07 22 298 10.1 11.9 00.90 03.40 03.70 329 1000.8  04.8 999.0 999.0 32.9
95 01 07 23 301 10.4 12.8 01.00 03.60 03.80 335 1002.6  03.6 999.0 999.0 33.5
95 01 08 00 304 09.5 11.7 01.00 03.60 04.00 343 1004.0  02.7 999.0 999.0 34.3
95 01 08 01 306 09.3 11.2 01.00 11.10 04.20 108 1004.9  02.4 999.0 999.0 10.8
95 01 08 02 310 09.0 10.8 01.10 12.50 04.50 105 1006.2  02.3 999.0 999.0 10.5
95 01 08 03 326 08.9 11.0 01.20 12.50 04.70 102 1007.0  02.1 999.0 999.0 10.2
95 01 08 04 319 08.3 10.6 01.20 10.00 04.70 102 1008.1  01.7 999.0 999.0 10.2
95 01 08 05 317 08.4 09.6 01.40 12.50 04.90 115 1009.1  01.3 999.0 999.0 11.5
95 01 08 06 317 08.0 09.7 01.40 05.60 04.70 049 1009.5  01.2 999.0 999.0 04.9
95 01 08 07 316 08.3 10.7 01.50 12.50 04.90 095 1010.7  00.9 999.0 999.0 09.5
95 01 08 08 320 08.4 10.0 01.50 05.30 04.90 053 1011.3  00.8 999.0 999.0 05.3
95 01 08 09 317 08.4 10.3 01.50 05.90 04.90 052 1011.7  00.5 999.0 999.0 05.2
95 01 08 10 313 07.8 09.6 01.50 12.50 05.10 106 1012.5  00.4 999.0 999.0 10.6
95 01 08 11 315 07.4 08.7 01.50 12.50 05.10 102 1014.0  00.2 999.0 999.0 10.2
95 01 08 12 341 06.1 07.8 01.50 12.50 05.50 109 1015.0  00.2 999.0 999.0 10.9
95 01 08 13 308 05.3 06.9 01.30 12.50 05.60 103 1015.8  00.0 999.0 999.0 10.3
95 01 08 14 317 05.8 07.7 01.30 12.50 05.90 107 1016.4 -00.3 999.0 999.0 10.7
95 01 08 15 303 05.5 07.2 01.30 12.50 06.00 097 1017.2 -00.7 999.0 999.0 09.7
95 01 08 16 298 05.1 06.6 01.30 12.50 05.60 096 1016.9 -00.4 999.0 999.0 09.6
95 01 08 17 288 03.7 05.4 01.40 06.20 05.70 060 1016.5 -00.3 999.0 999.0 06.0
95 01 08 18 274 04.1 06.1 01.20 06.20 06.00 068 1015.6  00.1 999.0 999.0 06.8
95 01 08 19 254 05.4 07.1 01.20 12.50 06.10 088 1015.3  00.5 999.0 999.0 08.8
95 01 08 20 239 04.6 05.8 01.20 12.50 06.00 094 1015.0  00.8 999.0 999.0 09.4
95 01 08 21 242 04.4 07.4 01.10 12.50 05.80 090 1015.1  00.8 999.0 999.0 09.0
95 01 08 22 241 05.6 07.1 01.20 12.50 07.00 097 1016.1  00.8 999.0 999.0 09.7
95 01 08 23 247 05.7 07.7 01.10 12.50 06.90 089 1016.9  01.2 999.0 999.0 08.9
95 01 09 00 254 06.6 08.9 01.10 12.50 06.50 089 1017.6  01.2 999.0 999.0 08.9
95 01 09 01 247 06.0 07.9 01.10 11.10 05.30 089 1018.1  01.0 999.0 999.0 08.9
95 01 09 02 275 05.8 07.2 01.10 12.50 05.70 090 1018.4  00.5 999.0 999.0 09.0
